specimen_ID	cre	excitation	R_input	R_ASC	C	El	th_inf	total charge 1/300+1/100	total charge 1/3+1/10+1/100	spike_cut_length	reset_slope	reset_intercept	LIF_opt_th_inf	LIFASC_opt_th_inf	peak_v_long_square	fast_trough_v_long_square	upstroke_downstroke_ratio_long_square	upstroke_downstroke_ratio_short_square
483091812	Rorb-IRES2-Cre-D	excitatory	477376551.225136	442136416.031874	9.09E-011	-0.0769605522	0.0302951731	-1.57E-012	-4.06E-012	163	0.4630642132	0.0140478234	0.0458113159	0.038555153	24.6562519073	-44.6250038147	2.9947934185	2.9416857706
485339983	Ntsr1-Cre_GN220	excitatory	188504178.248246	189798617.396171	8.07E-011	-0.0755280399	0.0268510184	0	-4.62E-012	57	0.5674762573	0.00566786	0.039169014	0.0325804589	47.21875	-50.0625038147	3.0888827934	3.4410326392
485577686	Rbp4-Cre_KL100	excitatory	87213558.8215637	80440632.4006139	1.73E-010	-0.0763579197	0.0247364467	-3.40E-012	-4.93E-012	111	0.4795099719	0.0107765556	0.038917648	0.0338710551	36.3125	-46.7812538147	3.7814014858	4.1496814524
581058864	Nkx2-1-CreERT2	inhibitory	151919749.328759	182826904.533348	6.05E-011	-0.0602494593	0.0199091707	-1.09E-012	-1.43E-012	93	1.0734496293	-0.0112460186	0.025055536	0.019960406	16	-45.4062538147	2.6167748087	2.7778974112
482654108	Htr3a-Cre_NO152	inhibitory	116965185.668057	112914177.897952	5.47E-011	-0.0698261948	0.0254295945	-1.52E-012	-3.63E-012	43	0.7320718252	-0.0007240983	0.0385120413	0.0247337363	30.6875019073	-51.3125038147	2.4702009915	2.4886586193
485932822	Cux2-CreERT2	excitatory	133470298.394576	125944031.430056	8.91E-011	-0.080114542	0.0285295173	-1.84E-012	-2.55E-012	71	0.3516408152	0.015664656	0.0396649421	0.0322591693	29.0000019073	-51.7500038147	2.1935312373	3.1626414688
561520050	Nkx2-1-CreERT2	inhibitory	209624299.267757	237992842.638005	6.40E-011	-0.0666928838	0.028869823	-5.17E-013	-3.42E-012	71	0.0442346338	0.0143160117	0.0318004822	0.0278160994	37.1250038147	-52	3.9501001441	2.9009700975
513879001	Scnn1a-Tg3-Cre	excitatory	181157583.301214	188774398.314017	1.58E-010	-0.0677851448	0.0237526982	-3.30E-012	-6.96E-012	143	0.9068469043	-0.0083507553	0.0393311704	0.0299809967	27.3750019073	-49.9062538147	4.076530399	3.774782498
567029686	Nkx2-1-CreERT2	inhibitory	282719242.146402	284133236.188939	6.61E-011	-0.0606300354	0.0203577983	-1.00E-012	-1.55E-012	73	0.7250117508	-0.0056000777	0.0261770146	0.0253794441	1.8125001192	-51.7187538147	1.8556792108	1.986214757
580895033	Chrna2-Cre_OE25	inhibitory	227820563.308511	267052867.208134	5.01E-011	-0.0730218455	0.0279170117	-7.59E-015	0	39	-0.0121486668	0.0068542005	0.0224405136	0.0243250336	28.4062519073	-66.4375076294	1.2999144612	1.4163381221
570010469	Chrna2-Cre_OE25	inhibitory	269766320.527239	297026032.420692	1.55E-010	-0.0773149319	0.0264834418	4.45E-013	0	51	0.4195064224	0.0029742797	0.0298030537	0.0325542844	31.6250019073	-60.8125038147	2.0306637419	2.2031675223
577218818	Chat-IRES-Cre-neo	inhibitory	148577632.158665	153769334.207649	5.49E-011	-0.0752975483	0.0243074787	-1.34E-013	-2.83E-012	78	0.5454221679	0.009738972	0.0422459001	0.0349936644	38.0000038147	-52.4375038147	2.4603316323	2.4065540544
469800845	Scnn1a-Tg3-Cre	excitatory	161137937.355456	246368862.427987	1.47E-010	-0.073960535	0.0273217017	-2.66E-012	-2.14E-012	112	0.7294989382	-0.0017969614	0.0244806791	0.0298962002	36.625	-41.46875	3.3430857333	3.3067701909
327648537	Htr3a-Cre_NO152	inhibitory	86907636.3910024	98738680.5866767	8.61E-011	-0.0814035454	0.0371744678	-2.76E-012	-3.76E-012	61	0.1705973794	0.0252497769	0.0450334298	0.037414257	19.90625	-54.9062538147	3.6941299389	2.1202070549
501562903	Ntsr1-Cre_GN220	excitatory	147071704.115987	144540863.340398	7.55E-011	-0.0716689167	0.0244226118	0	-7.75E-012	61	0.7640017681	0.0020741183	0.0579073747	0.0347729685	35.40625	-43.2812538147	2.6152087251	2.8136143624
512322162	Ctgf-2A-dgCre	excitatory	164602700.316632	255961838.405155	1.41E-010	-0.0744911003	0.0327015109	0	-5.84E-012	183	1.065208042	-0.0079283082	0.0262572504	0.0279576595	35.34375	-50.71875	4.7614168323	3.9064435586
490263438	Ntsr1-Cre_GN220	excitatory	130602810.287949	145842192.706821	9.49E-011	-0.0765496902	0.0305370247	-1.29E-012	-2.70E-012	77	1.028423734	-0.0116133748	0.0390307547	0.0336544328	43.8437538147	-51.0312538147	2.792200772	3.0483167004
485889190	Rorb-IRES2-Cre-D	excitatory	186467515.853316	190794145.57082	9.15E-011	-0.0804933294	0.0311404876	-1.62E-012	-1.35E-012	67	0.252877566	0.0213869432	0.0344788693	0.0310793912	42.90625	-50.0312538147	3.5915440217	3.8971740047
505808144	Nr5a1-Cre	excitatory	165722181.628941	169420728.549155	9.53E-011	-0.0733500671	0.0277764022	-2.51E-012	-3.09E-012	98	0.8885496266	-0.0040902054	0.0408019487	0.0313240347	37.5	-45.0937538147	3.441285679	3.7711756857
527869035	Ndnf-IRES2-dgCre	inhibitory	133075936.388734	139295242.200921	7.45E-011	-0.0654394302	0.0242527662	-1.05E-012	-2.04E-012	94	0.2604881562	0.0100526328	0.0291312919	0.0227036815	18.0000019073	-50.65625	3.0231526732	2.4089963345
501951290	Rorb-IRES2-Cre-D	excitatory	351703117.62231	400869519.668488	1.07E-010	-0.0817936147	0.0327386163	-2.86E-012	-2.26E-012	173	0.3349852878	0.0145011756	0.033252166	0.0348629891	40.3125038147	-51.4687538147	4.2211474584	4.4356406243
566673170	Nkx2-1-CreERT2	inhibitory	265999768.677928	328789132.031996	6.07E-011	-0.0684660848	0.0285845316	-3.07E-013	-2.97E-012	83	-0.2360630699	0.0237134271	0.0324933068	0.0254632374	26	-51.8750038147	2.7623490635	2.4122326429
502267531	Nr5a1-Cre	excitatory	318768739.813945	371377995.052312	1.04E-010	-0.0810679779	0.0323076962	-1.52E-012	-2.37E-012	82	0.4699160895	0.0108239701	0.0362114824	0.0309017198	39.2187538147	-51.7187538147	3.1652918675	3.4335263021
490931049	Rbp4-Cre_KL100	excitatory	389508451.566348	532139549.2601	8.75E-011	-0.0680360362	0.0217027857	0	-2.38E-012	73	0.1941931233	0.0124145794	0.0227016059	0.0234023688	38.0625	-50.8125	2.9386547549	3.1164930618
485838981	Rbp4-Cre_KL100	excitatory	120525541.881371	163945228.821106	1.49E-010	-0.0739470088	0.0255089906	-2.89E-012	-2.52E-012	108	1.0021882624	-0.0080198705	0.0294463565	0.0270617156	44.03125	-42.8125038147	4.2805741868	3.7845414386
476054829	Scnn1a-Tg2-Cre	excitatory	278553862.032953	329526365.19994	1.11E-010	-0.0710047264	0.027384056	0	-4.38E-012	90	0.5048931274	0.0101078693	0.0291732328	0.0265154065	36.75	-44.28125	3.0920751174	3.1320482404
367567889	Nr5a1-Cre	excitatory	146016327.693128	124420185.016726	9.58E-011	-0.0748149312	0.0263551722	-1.63E-012	-2.38E-012	70	0.2064512287	0.0170693416	0.0367220432	0.0299748592	42.4375	-50.0312538147	3.2932411812	3.6069302959
503517607	Ntsr1-Cre_GN220	excitatory	415266305.818369	466715257.732935	1.34E-010	-0.0621774101	0.015327676	-1.53E-012	-3.55E-012	198	0.7970763461	-0.0063934712	0.0261084286	0.019217832	45.875	-51.9062538147	3.3301299366	3.0954155648
502382506	Sst-IRES-Cre	inhibitory	214127318.171715	221772290.93327	7.41E-011	-0.0736061274	0.0269730312	-7.65E-014	0	54	0.4365431282	-0.0016436228	0.0285825399	0.0281447364	38.3125038147	-64.7812576294	2.4154843157	2.4898534261
484635029	Pvalb-IRES-Cre	inhibitory	86294536.9801141	91006986.6306004	6.01E-011	-0.0730166817	0.0306489572	-7.46E-013	0	22	0.2267131361	0.0096032066	0.0321932241	0.0302995927	19.1875	-58.8125038147	1.3309374363	1.3361568026
474626527	Htr3a-Cre_NO152	inhibitory	525122161.017252	533396831.005788	4.03E-011	-0.0631454544	0.0229165175	-5.10E-013	-6.31E-013	48	0.2904744023	0.0048165614	0.0283851762	0.0230542684	21.1875019073	-50.8125	2.3298410809	2.3201498741
485955227	Cux2-CreERT2	excitatory	161492461.255418	143877782.185159	1.05E-010	-0.0760529289	0.0316423955	-2.05E-012	-3.96E-012	90	0.4907976827	0.0132030082	0.0426487624	0.0362811177	42.1875	-44.7812538147	3.6121828153	3.4264242087
528501887	Ctgf-2A-dgCre	excitatory	392077808.358649	542808125.842676	9.70E-011	-0.0736993993	0.0275185427	-8.95E-013	-2.15E-012	199	1.2789959842	-0.0188873734	0.0228444289	0.025281407	38.3125038147	-49.6562538147	4.5901261618	4.3090883
502574847	Rorb-IRES2-Cre-D	excitatory	141640450.67816	137038925.437738	1.29E-010	-0.0784108022	0.0293132136	-2.99E-012	-2.89E-012	128	0.5744242116	0.0049681165	0.0364602981	0.0341052464	33.5625	-50.96875	4.520036676	4.732096486
313861608	Pvalb-IRES-Cre	inhibitory	122944685.962414	123167833.948314	5.43E-011	-0.0753596954	0.0218884741	-2.93E-013	0	31	0.0296170324	0.01335356	0.0298791382	0.0268901107	16.5	-65.3125076294	1.405709013	1.3972365615
515949222	Cux2-CreERT2	excitatory	159251652.049716	171785021.485795	1.07E-010	-0.0757942047	0.0299880181	-3.29E-012	-2.32E-012	98	0.3505134225	0.0115392373	0.0357592034	0.0302274615	36.8750038147	-50.2812538147	3.2212039613	3.67449489
481018305	Pvalb-IRES-Cre	inhibitory	100714100.186808	113273204.743505	5.68E-011	-0.0756959171	0.0342547701	-3.15E-013	-3.83E-013	28	0.1403512112	0.0137589663	0.0308595513	0.028857647	19.625	-60.3437538147	1.1764213421	1.3188164189
480353286	Rorb-IRES2-Cre-D	excitatory	182826995.027372	243332638.528174	1.69E-010	-0.0753506794	0.0245634689	-2.80E-012	-4.74E-012	119	0.7819902867	0.0025403726	0.0336488404	0.0314185901	32.71875	-43.6875038147	3.2048788725	3.1941434863
489751959	Cux2-CreERT2	excitatory	142521339.665544	130220374.296115	1.10E-010	-0.0765770435	0.0275144464	-2.02E-012	-3.47E-012	94	0.5892091872	0.0096253655	0.0413886025	0.0328441165	37.65625	-43.3437538147	3.9160296986	3.7136173153
483018019	Cux2-CreERT2	excitatory	194177008.708517	193730079.658709	8.02E-011	-0.0725349998	0.0245607541	-1.95E-012	-1.18E-012	88	0.3756089906	0.0085630452	0.0280140775	0.0248988265	18.0000019073	-54.3437538147	3.2266838754	3.1632393796
476129135	Scnn1a-Tg3-Cre	excitatory	283347443.698386	356851567.44447	1.53E-010	-0.0729337184	0.024605871	0	-5.39E-012	186	0.0689878464	0.0225754367	0.0267514779	0.0297503945	49.6562538147	-45.5625038147	4.2266204351	4.2380197995
478439166	Nr5a1-Cre	excitatory	236919697.592283	213675211.333321	6.05E-011	-0.0819603602	0.0357193989	-1.48E-012	-1.86E-012	49	0.5265545255	0.0090250933	0.0478994874	0.0380639086	37	-50.4687538147	2.8647845862	3.4504710406
478498617	Rorb-IRES2-Cre-D	excitatory	302990279.990907	315690394.758878	7.96E-011	-0.0675764186	0.0222217084	-2.58E-012	-1.65E-012	110	0.2487646497	0.0078438073	0.0271313803	0.0226449632	45.3125	-50.96875	3.8095199163	4.5598996199
473951795	Htr3a-Cre_NO152	inhibitory	392098098.147945	440577701.574766	8.88E-011	-0.0649022007	0.0192590491	1.47E-012	0	30	0.6148044431	-0.0066447317	0.0185905087	0.0220267634	24.5000019073	-58.0000038147	1.5586868492	1.4914398503
563373346	Nkx2-1-CreERT2	inhibitory	217805088.156857	238527449.137794	6.04E-011	-0.0615115992	0.0246934448	-3.66E-013	-3.72E-012	78	0.1855195689	0.0055850933	0.0292869108	0.0248983271	32	-50.8437538147	3.4325724309	2.6745539558
483027960	Nr5a1-Cre	excitatory	188119425.803081	189093377.848167	8.08E-011	-0.0709183235	0.0237962561	-1.04E-012	-2.51E-012	55	-0.0987888785	0.0243394365	0.0310503503	0.0245995383	50.1250038147	-51.28125	3.2573269949	3.5143422906
561329890	Nkx2-1-CreERT2	inhibitory	243807840.597096	262136976.895082	6.37E-011	-0.059385938	0.0169437532	-2.78E-013	-2.28E-012	71	0.0600586993	0.0064412109	0.0224588167	0.0182408759	38.53125	-53.6250038147	2.5672498613	2.4105723349
486921382	Htr3a-Cre_NO152	inhibitory	205747278.292938	204559345.786794	7.99E-011	-0.0674637477	0.0221181918	2.29E-013	-3.97E-012	36	0.6407608719	-0.0035385721	0.029219469	0.0231047544	20.53125	-56.71875	1.8060889336	1.7984025878
502873181	Rorb-IRES2-Cre-D	excitatory	494965694.454912	773650085.44051	1.09E-010	-0.0713535334	0.0231250903	-5.96E-013	0	62	0.2679217539	0.0084629481	0.0153200255	0.0219059463	47.21875	-55.4375	4.3291652343	4.0631448382
475625477	Htr3a-Cre_NO152	inhibitory	383779845.451639	355633041.350509	5.51E-011	-0.0671439934	0.0229208919	-3.59E-013	-1.45E-012	47	0.7937042379	-0.0041951868	0.0407737229	0.0337952702	36.625	-45.9062538147	2.3473805659	2.3896023447
486239338	Cux2-CreERT2	excitatory	228270652.201637	218178745.974758	1.07E-010	-0.078286747	0.0303529534	-1.85E-012	-2.91E-012	134	0.6345132912	0.0045991671	0.0386885024	0.0321474478	35.2812538147	-47.2812538147	4.1923051698	3.7885009668
320455763	Pvalb-IRES-Cre	inhibitory	179541846.6582	207334229.187021	6.09E-011	-0.0767791519	0.0322300105	-6.85E-013	3.17E-013	36	0.1746252953	0.0083631958	0.0236794408	0.0225007604	28.2812519073	-65.09375	1.6512818348	1.7312740215
329224678	Sst-IRES-Cre	inhibitory	165614258.304608	167915341.31679	6.74E-011	-0.0779837036	0.0317608583	1.03E-014	0	43	0.5289782484	0.0034944456	0.0334310311	0.0330021457	34.28125	-59.3750038147	2.0097338744	1.9574085769
487663469	Rbp4-Cre_KL100	excitatory	157546308.35431	195048530.844949	1.49E-010	-0.0755615412	0.0246476791	-1.38E-012	0	85	0.9977480859	-0.0033123069	0.0245391858	0.0242333293	47.0000038147	-48.4687538147	3.0269697689	2.9593617083
517753911	Rorb-IRES2-Cre-D	excitatory	217246097.598839	298570217.546375	1.70E-010	-0.0795115458	0.0303999706	-3.26E-012	-4.66E-012	170	0.389568642	0.0175688064	0.0341549666	0.0290869011	30.90625	-44.125	3.911546162	4.2696913635
487176969	Htr3a-Cre_NO152	inhibitory	176334692.624781	164063643.4677	6.59E-011	-0.0788596554	0.0274896393	6.02E-013	-7.20E-013	57	0.3944976437	0.0063615137	0.038044972	0.034040721	18.5625019073	-67.9687576294	1.5447381313	1.6967267576
505512874	Cux2-CreERT2	excitatory	114771537.128707	119078254.162613	9.11E-011	-0.0721379573	0.0270033455	-1.99E-012	-3.74E-012	120	1.415236991	-0.0170096271	0.0351116574	0.0255865015	42.28125	-46.5312538147	3.4800220978	3.7104175381
523478869	Vip-IRES-Cre	inhibitory	125426194.450813	138796445.012479	9.12E-011	-0.0802889175	0.0370561743	-1.10E-012	-5.38E-012	77	0.9107973801	-0.0010915181	0.0450938392	0.0366898684	13.65625	-49.7500038147	3.5159843346	2.4873881798
501014504	Rbp4-Cre_KL100	excitatory	125306381.718871	130323500.981285	7.33E-011	-0.0658799229	0.0203345229	0	-3.96E-012	105	-0.1181177228	0.0170130735	0.0224641268	0.0180187452	47.6875	-51.5000038147	3.4285926674	3.7130267253
320207387	Scnn1a-Tg3-Cre	excitatory	113292513.642877	107890232.229143	9.40E-011	-0.0682186025	0.0191412398	-2.35E-012	-5.57E-012	99	0.2590292273	0.0112727405	0.0353139904	0.0229501873	30.2812519073	-48.40625	3.0986918206	3.3447446885
397348126	Nr5a1-Cre	excitatory	159285648.173673	135021164.471772	8.73E-011	-0.083798357	0.0358448052	-1.78E-012	-1.33E-012	74	0.2215906157	0.0235972994	0.0456096756	0.0381005627	36.59375	-51.5625038147	4.2162788065	4.9190023956
469763389	Rorb-IRES2-Cre-D	excitatory	175419163.715369	187672114.964407	8.73E-011	-0.0823413372	0.0275848809	-1.97E-012	-1.40E-012	115	0.3459822924	0.0098875067	0.0345446918	0.0311194296	28.5312519073	-57.2500038147	3.5142738747	3.949913102
481017021	Pvalb-IRES-Cre	inhibitory	82096976.9561471	76970894.8539237	5.79E-011	-0.0716364212	0.0293901907	0	-1.65E-012	30	0.1303560139	0.0119853765	0.0404125599	0.0300401911	14.3125009537	-60.6875038147	1.3027383807	1.3898638385
478447600	Nr5a1-Cre	excitatory	159589968.309814	130688563.13693	8.69E-011	-0.0775341924	0.0331366603	-1.77E-012	-4.24E-012	68	0.1293969199	0.0253321246	0.0555450694	0.0410815112	43.6562538147	-45.5625038147	2.8385972715	3.3505486959
475512108	Sst-IRES-Cre	inhibitory	104334508.737157	95795690.9038312	5.96E-011	-0.0698546193	0.0194461789	-4.67E-013	-7.47E-013	51	0.2040194654	0.0048078994	0.0339077313	0.0286543071	25.0312519073	-70.6562576294	1.4557154889	1.5139737471
341459814	Pvalb-IRES-Cre	inhibitory	74762275.7040573	78757896.0837637	5.71E-011	-0.0696720695	0.0268639882	-3.12E-013	-7.00E-013	22	0.750618694	-0.0054455609	0.0273680626	0.0222930303	-1.28125	-58.21875	1.0787107878	1.1020201149
476100382	Sst-IRES-Cre	inhibitory	167930957.855327	188328105.403049	1.11E-010	-0.0685923576	0.0229004171	4.58E-013	0	41	0.5374661666	-0.0014224641	0.020284352	0.0220445783	5.0625	-58.1875038147	2.1184125848	1.9537177182
488430487	Ntsr1-Cre_GN220	excitatory	102639789.626574	106249433.711378	1.16E-010	-0.0830394491	0.0303873472	0	-8.06E-012	55	0.6324083376	0.0085996827	0.0497049408	0.0367444522	32.28125	-46.75	2.5794769354	3.2272513315
526946319	Ctgf-2A-dgCre	excitatory	90163057.0208985	107253588.57983	1.83E-010	-0.0781961555	0.0287764128	-4.83E-012	-4.54E-012	103	1.6606298596	-0.0239101425	0.0313402573	0.027812773	40.75	-50.6875038147	4.3756021839	4.2758389906
486110216	Rbp4-Cre_KL100	excitatory	116477774.84805	105140272.758012	9.17E-011	-0.0655145416	0.0200673345	-1.19E-012	-4.73E-012	72	0.4381532722	0.0070729426	0.0310090171	0.0255702423	29.1875	-46.7812538147	2.3932422179	2.5471432083
479298854	Pvalb-IRES-Cre	inhibitory	67548188.275716	71621198.0930547	7.63E-011	-0.0778510609	0.0310080077	-6.08E-013	-7.22E-013	27	0.2539219743	0.010688015	0.0326785603	0.027104678	9.5000009537	-61.0312538147	1.242690961	1.453792063
500894271	Rorb-IRES2-Cre-D	excitatory	205726170.351914	207499290.122825	1.03E-010	-0.079419529	0.0289922231	-2.83E-012	-3.64E-012	147	0.4049312943	0.0145988465	0.0471839841	0.036353076	39.7500038147	-46.09375	3.5701365234	4.2272372401
556369531	Chrna2-Cre_OE25	inhibitory	183124810.920942	177200998.13486	1.47E-010	-0.0677830181	0.0207642911	-3.36E-012	-5.25E-012	167	0.5801113771	0.0004095974	0.0270214406	0.0226161495	34.78125	-49.4687538147	3.871348098	3.7109050648
487661754	Cux2-CreERT2	excitatory	423753777.441526	403435554.390821	1.23E-010	-0.080978803	0.0316097786	-1.13E-012	0	60	1.1225030884	-0.0120445308	0.0439079179	0.0404471683	43.40625	-48.34375	3.8426142651	4.4339271843
464191630	Htr3a-Cre_NO152	inhibitory	334219435.533041	343418099.585757	4.46E-011	-0.0689382655	0.0239673208	-6.01E-014	-9.47E-013	38	0.532290619	0.0030144815	0.0305671587	0.0282956565	17	-53.28125	2.3390026058	2.3958027662
489731121	Nr5a1-Cre	excitatory	154515924.980398	137469248.79045	1.07E-010	-0.0794135456	0.031281456	-1.57E-012	-2.62E-012	89	0.3026849012	0.0199265406	0.0416065652	0.0360110758	32.4375038147	-47.0625	3.313076173	3.7341675434
522152249	Ntsr1-Cre_GN220	excitatory	187435595.523272	164849218.356391	9.41E-011	-0.0777600149	0.0353933954	0	-1.25E-011	62	1.0428122612	-0.0127386467	0.0580520682	0.0405484473	28.1875019073	-43.40625	2.1574245857	3.0121027887
556363725	Chrna2-Cre_OE25	inhibitory	70736690.974875	82766345.1493769	2.17E-010	-0.0712798869	0.0244607652	-8.61E-012	-5.02E-012	187	0.4875152226	0.0070050583	0.0254159689	0.0279175297	42.7812538147	-49.0000038147	4.6902212159	4.7504634714
485958978	Cux2-CreERT2	excitatory	91387099.0308077	82359173.2099003	1.50E-010	-0.074202357	0.0260531974	-3.12E-012	-5.14E-012	88	0.3766998399	0.0139694451	0.0347508303	0.0287899133	39.46875	-46.1250038147	3.812401369	3.781571703
488683425	Rbp4-Cre_KL100	excitatory	99688061.5584755	131512519.033028	1.86E-010	-0.0681551259	0.0201391498	-1.60E-012	0	68	0.8532995316	-0.0014132777	0.0172772632	0.016711916	23.5937519073	-51.9687538147	2.0943282172	2.2529081279
479225294	Rorb-IRES2-Cre-D	excitatory	269188826.657393	301077586.722232	9.56E-011	-0.0744912135	0.028507951	0	-4.12E-012	67	0.568735584	0.0020017465	0.0286009275	0.0232577467	41.9062538147	-54.5937538147	2.709897683	2.9461253113
482649712	Htr3a-Cre_NO152	inhibitory	204820243.700021	218409411.586617	3.98E-011	-0.0690673218	0.0331217115	-1.17E-012	-1.95E-012	75	1.2877355044	-0.0189448787	0.040792923	0.0308153546	6.5	-45.4375038147	2.6980982247	2.0434335588
318808427	Nr5a1-Cre	excitatory	284491989.40517	253923530.495927	6.81E-011	-0.076169164	0.0289313266	-2.00E-012	-4.34E-012	48	0.0632677166	0.0265544126	0.0542295324	0.0352867202	31.8437519073	-47.4062538147	3.1326653001	3.4664786123
502999078	Cux2-CreERT2	excitatory	354225345.688294	426912942.505473	1.11E-010	-0.0704663239	0.0258739141	-2.36E-012	-2.64E-012	181	0.571870828	-0.0018853194	0.0274227382	0.0298114948	44.125	-48.5625	3.8047895318	4.1729680404
324032509	Rorb-IRES2-Cre-D	excitatory	291142639.869221	299475533.131862	9.45E-011	-0.082209816	0.0351334849	-1.96E-012	-3.27E-012	110	0.7022633016	0.0014687976	0.0421722488	0.0392194592	43	-46.15625	3.3615732663	4.2204334246
482516631	Pvalb-IRES-Cre	inhibitory	146938707.254778	123612067.456148	4.86E-011	-0.0751367397	0.0276839843	3.93E-013	-5.33E-013	27	0.1492952796	0.0085820916	0.0557671656	0.0421943499	16.2187519073	-65.7187576294	1.1478319669	1.2300341199
569477234	Chrna2-Cre_OE25	inhibitory	254839767.92233	239729534.438554	1.22E-010	-0.0753406118	0.0325195706	0	-6.45E-012	139	0.4086962375	0.0115461819	0.0398253984	0.0344290077	38.03125	-45.9062538147	2.9704548983	3.0714128111
479508018	Rorb-IRES2-Cre-D	excitatory	89568746.2058979	79058992.8028016	9.63E-011	-0.0724345398	0.0253240906	-2.28E-012	-5.08E-012	85	0.2371384677	0.0152026419	0.037839164	0.0297194489	46.2812538147	-49.0312538147	4.957589516	4.53861343
504643398	Cux2-CreERT2	excitatory	235232829.07201	249965605.994861	1.17E-010	-0.0798967768	0.0344036137	-3.09E-012	-2.89E-012	125	0.5037523179	0.0097900856	0.0441950901	0.0385005512	37.46875	-48.0625038147	3.5639551469	3.7829078428
476764144	Sst-IRES-Cre	inhibitory	232283154.088862	146969284.506839	4.29E-011	-0.075138504	0.0274151888	4.81E-013	-1.89E-012	34	0.358442351	0.0119265506	0.0545372225	0.0340250579	12.625	-62.59375	1.1619708898	1.2011714669
526951157	Ctgf-2A-dgCre	excitatory	285535605.51622	403274495.553475	8.82E-011	-0.0667593918	0.0178614778	-2.51E-012	-1.83E-012	199	1.3528181254	-0.0138080029	0.0191922269	0.0167415754	42.5625038147	-51.5000038147	4.0431381903	4.1387199243
397353539	Nr5a1-Cre	excitatory	122125305.517478	110324824.422083	1.11E-010	-0.0758880577	0.0302421776	-1.97E-012	-3.49E-012	52	0.457344945	0.0116446446	0.0387409511	0.0334208927	37.0625	-46.03125	3.6308231029	4.1758505252
